index,acc_x_n,acc_y_n,acc_z_n,gyr_x_n,gyr_y_n,gyr_z_n,mag_x_n,mag_y_n,mag_z_n,acc_x_r,acc_y_r,acc_z_r,gyr_x_r,gyr_y_r,gyr_z_r,mag_x_r,mag_y_r,mag_z_r,q1n,q2n,q3n,q4n,q1r,q2r,q3r,q4r
2038,-0.816162109,-0.002197266,-0.699951172,4.889563762,-0.035686359,-3.710848663,1493,-4105,-8884,-0.936035156,0.030761719,-0.040283203,0.551274346,0.31212248,-0.362189908,-5516,3038,3836,-0.777616227,-0.614708722,0.128319152,0.031311108,0.760254871,-0.077032667,0.644809309,0.017304744
2039,-0.674560547,0.028808594,-0.587158203,4.345746267,-0.749946163,-3.965446863,1493,-4105,-8884,-1.008300781,0.055908203,-0.023925781,0.762196704,0.051132693,0.333960401,-5516,3038,3836,-0.711083421,-0.691010601,0.0899294,0.093687891,0.759955752,-0.060703909,0.647005374,0.012897155
2040,-0.656982422,0.027832031,-0.479248047,3.339604007,-1.901497019,-3.431216749,1511,-4365,-9046,-1.121826172,0.017578125,-0.014404297,0.579503853,0.138484377,1.03011071,-5440,3102,3860,-0.648046654,-0.740011298,0.072234577,0.164927193,0.757847353,-0.038447792,0.650958728,0.021021188
2041,-0.745361328,0.015625,-0.416503906,3.308178706,-0.732901932,-3.213902803,1511,-4365,-9046,-1.172119141,-0.118408203,-0.019287109,0.519849045,1.359810053,0.796817798,-5440,3102,3860,-0.581682368,-0.783436526,0.041849866,0.214758984,0.739436569,-0.021152562,0.672432671,0.024908487
2042,-0.734619141,-0.003662109,-0.438720703,3.30178712,0.995489615,-3.039199436,1447,-4467,-9006,-1.253662109,-0.233154297,-0.106689453,2.842658148,2.31481962,-1.097222369,-5342,3044,3802,-0.512500353,-0.826311142,-0.005711161,0.23349661,0.707651492,0.004442682,0.70586972,-0.030944575
2043,-0.711669922,-0.021728516,-0.525634766,2.763828579,0.853276813,-2.468217698,1447,-4467,-9006,-1.037841797,-0.424804688,0.137939453,5.523928733,-0.691356619,-2.997121491,-5342,3044,3802,-0.450882883,-0.856735808,-0.044269371,0.246472319,0.709493094,0.038702077,0.687243726,-0.151055486
2044,-0.709716797,-0.04296875,-0.559082031,1.81787376,0.082025362,-1.459944909,1484,-4578,-9065,-0.896484375,-0.455078125,0.152587891,2.630670525,0.618918637,-3.213902803,-5317,3119,3735,-0.40911913,-0.871963167,-0.062802832,0.261452821,0.68694246,0.032897922,0.687810426,-0.23225977
2045,-0.697753906,-0.027587891,-0.573974609,1.302285773,-0.588025969,-0.903344242,1484,-4578,-9065,-0.971191406,-0.339111328,-0.119628906,-0.339286723,0.500674285,-2.924150877,-5317,3119,3735,-0.379504113,-0.878458782,-0.068479414,0.282130051,0.665120047,-0.009440927,0.697466382,-0.266583642
2046,-0.788818359,-0.012939453,-0.602050781,0.793089372,-0.867125251,-1.003479099,1530,-4694,-9110,-1.119873047,-0.062988281,-0.066894531,1.330515281,-0.563524887,-0.638093397,-5349,3392,3841,-0.358501599,-0.878162793,-0.076476351,0.307340333,0.669595235,-0.002331029,0.682880746,-0.29207991
2047,-0.868408203,0.033447266,-0.630126953,0.639691294,-1.000283305,-1.260207828,1530,-4694,-9110,-1.120605469,-0.01953125,0.061523438,4.486361172,1.196291962,-0.892158965,-5349,3392,3841,-0.338797951,-0.874379731,-0.088707088,0.335867664,0.645953725,0.053860016,0.669674372,-0.362462576
2048,-0.927246094,0.096435547,-0.762695313,0.475640571,-1.190433007,-1.099352898,1522,-4726,-9004,-0.868896484,-0.132568359,-0.031982422,6.351106567,2.783003339,-1.619201943,-5371,3503,3988,-0.32319535,-0.867520249,-0.097612803,0.36527404,0.584489455,0.134308982,0.655002005,-0.459679832
2049,-1.106689453,0.257080078,-0.814697266,1.420530126,-0.86446209,-1.438639621,1522,-4726,-9004,-0.831787109,-0.155029297,-0.118164063,5.036570254,1.975532897,-1.022653859,-5371,3503,3988,-0.288410163,-0.866882153,-0.107089013,0.392258657,0.53252907,0.198109265,0.631336682,-0.527806311
2050,-0.745605469,0.295166016,-0.768066406,1.306014198,-2.08685303,-1.374723755,1486,-4692,-8830,-0.833984375,-0.034423828,-0.119140625,4.254666158,1.698031511,-0.702541896,-5437,3666,3983,-0.258386375,-0.854394921,-0.108607321,0.437550283,0.485248642,0.253321576,0.60503195,-0.578185328
2051,-0.635986328,0.243896484,-0.578613281,0.969390637,-2.246642695,-0.640756558,1486,-4692,-8830,-0.732421875,0.017089844,-0.142822266,4.533232808,1.169660351,-0.406931015,-5437,3666,3983,-0.240337992,-0.838001258,-0.099380145,0.479703167,0.442070834,0.306857411,0.563878241,-0.626460882
2052,-0.884765625,0.216064453,-0.475341797,2.004295036,-1.620267207,-0.685497665,1432,-4689,-8681,-0.78515625,0.031738281,-0.084472656,4.445881124,0.123038042,0.106526444,-5477,3775,3843,-0.202852062,-0.829760183,-0.083843911,0.51314645,0.413761463,0.349779318,0.506673298,-0.670625118
2053,-0.910400391,0.232177734,-0.547363281,1.979793954,2.012817152,-0.479368996,1432,-4689,-8681,-1.047607422,-0.081787109,-0.070556641,3.818440371,0.010652644,-0.007989483,-5477,3775,3843,-0.161471391,-0.856318313,-0.079478058,0.484075589,0.385981921,0.382183986,0.454609293,-0.705892165
2054,-0.732910156,0.172363281,-0.620849609,2.405899729,1.304416302,-0.883104217,1350,-4746,-8533,-1.170166016,-0.122558594,-0.083984375,3.469033636,1.219195147,-0.080960097,-5482,3839,3993,-0.109628003,-0.874175108,-0.075261835,0.467049503,0.346445516,0.425983091,0.414913965,-0.725506934
2055,-0.773925781,0.112060547,-0.499511719,2.800580202,-0.521979574,-1.335308971,1350,-4746,-8533,-0.907470703,-0.018554688,-0.204589844,3.194195411,1.318797372,-0.465520559,-5482,3839,3993,-0.049329117,-0.871758739,-0.070912224,0.482260092,0.301033747,0.464523934,0.3811271,-0.740498704
2056,-0.756591797,0.079101563,-0.446533203,2.827211813,0.178431793,-1.638909335,1424,-4890,-8648,-0.828125,0.197998047,-0.216796875,2.414954476,0.664725008,-0.804807282,-5492,3893,4012,0.015166695,-0.872070997,-0.071779875,0.48384894,0.262268852,0.485006398,0.35582848,-0.754566058
2057,-0.721923828,0.067138672,-0.430175781,2.583266257,0.738228254,-1.64743145,1424,-4890,-8648,-1.323974609,-0.151123047,0.028320313,3.809385623,0.628506017,0.597080716,-5492,3893,4012,0.075822459,-0.874368888,-0.074448034,0.473484416,0.229258032,0.518325763,0.295080116,-0.769224859
2058,-0.737548828,0.082275391,-0.455810547,2.556102015,0.9076053,-1.788578988,1431,-4993,-8618,-1.595703125,-0.406982422,0.23046875,1.680454648,0.553404875,1.7507621,-5513,3920,3675,0.136731889,-0.874748657,-0.078994541,0.458125572,0.234768579,0.544530756,0.253947001,-0.764120992
2059,-0.739746094,0.119873047,-0.471191406,2.728142221,0.438356315,-2.003229772,1431,-4993,-8618,-0.673583984,-0.184326172,-0.272949219,3.072755266,3.534547399,-2.110288848,-5513,3920,3675,0.200589763,-0.866562481,-0.086299726,0.448760037,0.149736841,0.600859045,0.24630034,-0.745575905
2060,-0.764892578,0.137695313,-0.494140625,2.896454001,0.013848438,-2.127333079,1483,-5088,-8675,-0.848876953,0.056640625,0.040039063,5.521798204,0.731304035,0.466053191,-5545,3919,3910,0.266248627,-0.849990959,-0.095205386,0.444480565,0.086799252,0.627305503,0.15891678,-0.757429306
2061,-0.816650391,0.125976563,-0.541992188,2.903910853,0.426638407,-2.01228452,1483,-5088,-8675,-1.034179688,-0.150146484,0.071289063,7.441404721,-0.238086601,1.21759725,-5545,3919,3910,0.330198628,-0.833500484,-0.099193663,0.431748106,0.012134995,0.633792113,0.030617916,-0.772801943
2062,-0.775634766,0.122314453,-0.590087891,2.435727133,0.042610577,-1.720402064,1493,-5163,-8661,-0.897216797,-0.198242188,-0.036132813,6.892260901,-0.492684802,0.00958738,-5587,4027,3869,0.381433177,-0.814539599,-0.104372331,0.424429487,-0.074763049,0.623028681,-0.074606106,-0.775035276
2063,-0.688476563,0.161621094,-0.597412109,2.416552373,-0.940628497,-1.567536617,1493,-5163,-8661,-0.894287109,-0.066650391,0.090332031,6.417152963,-1.424791183,-0.343547781,-5587,4027,3869,0.42724605,-0.785705875,-0.114160428,0.432544204,-0.161126781,0.587549719,-0.165843889,-0.775447801
